location,size,property_type,bedrooms,bathrooms,year_built,lot_size,garage,garden,swimming_pool,home_gym,price
Mumbai,2500,villa,4,3,2015,8000,1,1,1,1,9500000
Delhi,1800,apartment,3,2,2012,4000,1,0,0,0,7600000
Bangalore,2000,duplex,3,3,2018,6000,1,1,0,0,8400000
Pune,1500,apartment,2,1,2010,3000,0,0,0,0,5000000
Hyderabad,2700,villa,5,4,2020,9000,1,1,1,1,11200000
Chennai,1600,apartment,3,2,2016,3500,1,0,0,1,6900000
Kolkata,1900,duplex,3,2,2014,4500,0,1,0,0,6400000
Jaipur,1300,apartment,2,1,2008,2800,0,0,0,0,4600000
Ahmedabad,2200,villa,4,3,2019,7500,1,1,1,0,9200000
Surat,1700,duplex,3,2,2017,4200,1,1,0,1,7200000
Mumbai,2600,villa,4,3,2013,8100,1,1,1,1,9700000
Delhi,1750,apartment,3,2,2011,3900,0,1,0,0,7400000
Bangalore,2100,duplex,3,3,2018,6200,1,1,1,1,8800000
Pune,1600,apartment,2,1,2009,3100,0,0,0,1,5200000
Hyderabad,2800,villa,5,4,2021,9200,1,1,1,1,11500000
Chennai,1450,apartment,2,1,2015,3400,1,0,0,0,6100000
Kolkata,1950,duplex,3,2,2014,4600,1,1,0,1,6700000
Jaipur,1350,apartment,2,1,2007,2700,0,0,0,0,4400000
Ahmedabad,2250,villa,4,3,2020,7700,1,1,1,1,9400000
Surat,1800,duplex,3,2,2016,4300,1,0,1,1,7400000
